质量等级,食品价格
好,18
很好,22
好,28
优异,38
很好,33
好,28
很好,19
很好,11
很好,23
好,13
很好,33
很好,44
优异,42
优异,34
好,25
好,22
好,26
优异,17
很好,30
好,19
很好,33
很好,22
优异,32
优异,33
很好,34
很好,38
好,27
好,27
很好,26
很好,34
很好,35
好,25
优异,44
好,26
优异,47
好,10
优异,35
好,12
好,15
优异,27
好,19
优异,45
很好,32
很好,14
优异,40
优异,31
很好,17
很好,20
优异,36
优异,24
很好,38
好,10
很好,10
优异,21
很好,34
很好,31
优异,25
好,22
很好,28
好,10
很好,27
优异,41
很好,35
好,11
好,18
优异,40
很好,48
优异,26
很好,12
好,20
很好,38
很好,36
很好,37
很好,24
很好,18
很好,34
很好,28
很好,25
很好,25
很好,30
很好,21
优异,28
很好,16
好,23
优异,46
很好,14
好,11
很好,20
很好,32
优异,20
很好,24
很好,14
很好,24
优异,33
好,23
很好,28
很好,17
优异,28
很好,16
优异,31
很好,27
优异,30
好,33
优异,32
好,19
很好,25
很好,25
好,20
优异,37
很好,27
很好,28
好,20
很好,31
很好,26
很好,38
好,15
好,25
很好,40
很好,35
好,20
很好,23
很好,13
好,20
好,20
好,10
很好,17
很好,20
很好,21
优异,35
优异,41
好,28
优异,30
很好,31
优异,33
优异,32
好,18
好,27
优异,38
很好,23
很好,32
很好,25
很好,28
好,19
很好,14
很好,19
很好,18
很好,16
很好,42
很好,12
好,14
很好,26
好,15
很好,14
好,20
很好,30
好,16
好,21
优异,35
很好,30
很好,31
很好,28
很好,19
优异,43
好,17
优异,27
优异,32
优异,36
很好,21
很好,11
优异,48
很好,13
好,19
很好,35
很好,28
好,13
很好,32
优异,27
很好,33
很好,37
很好,28
好,24
好,10
很好,36
很好,37
很好,25
很好,11
好,11
很好,11
好,10
好,29
很好,14
很好,21
好,28
很好,42
很好,30
优异,41
好,22
好,23
很好,27
很好,13
很好,28
好,12
优异,23
很好,30
好,17
好,20
好,20
好,26
好,18
很好,13
很好,25
很好,22
很好,27
很好,21
很好,32
很好,16
很好,20
好,27
优异,44
很好,35
很好,21
很好,30
好,23
好,19
很好,18
优异,36
好,29
很好,20
好,17
很好,45
好,20
优异,41
好,26
好,16
很好,23
优异,31
很好,23
很好,20
很好,38
好,17
优异,46
很好,26
很好,24
很好,21
优异,30
优异,13
优异,23
很好,25
很好,28
很好,13
很好,27
很好,15
好,11
优异,40
好,28
优异,46
很好,32
好,12
好,37
优异,22
优异,42
很好,21
优异,32
优异,34
很好,37
优异,20
很好,21
很好,16
优异,47
很好,33
优异,48
很好,33
很好,25
很好,34
很好,20
优异,36
优异,40
好,13
很好,12
很好,27
很好,20
优异,30
好,29
很好,22
好,27
很好,20
优异,37
很好,27
好,23
好,16
很好,23
很好,24
优异,45
好,14
好,18
好,17
好,16
好,15
很好,38
很好,31
