State       Spending  Score
路易斯安那      4049  581
密西西比        3423  582
加利福尼亚      4917  580
夏威夷          5532  580
南卡罗来纳      4304  603
阿拉巴马        3777  604
佐治亚          4663  611
弗罗里达        4934  611
新墨西哥        4097  614
阿肯色          4060  615
特拉华          6208  615
田纳西          3800  618
亚利桑那        4041  618
西弗吉尼亚      5247  625
马里兰          6100  625
肯塔基          5020  626
得克萨斯        4520  627
纽约            8162  628
北卡罗来纳      4521  629
罗德岛          6554  638
华盛顿          5338  639
密苏里          4483  641
科罗拉多        4772  644
印地安纳        5128  649
犹他            3280  650
怀俄明          5515  657
康涅狄格        7629  657
马萨诸塞        6413  658
内布拉斯加      5410  660
明尼苏达        5477  661
衣阿华          5060  665
蒙大纳          4985  667
威斯康星        6055  667
北达科他        4374  671
缅因            5561  675
